'Kraft +1, wenn alle Karten auf dem Feld unterschiedliche Farben haben.'
'Dein Feld erhält FP +1.'
'Kraft +1, wenn alle deine Karten auf dem Feld gerade Kraftwerte haben.'
'Dein Feld erhält Kraft und FP +3.'
'Kraft +1, wenn alle Karten auf dem Feld unterschiedliche Farben haben.'
'Kraft und FP +1, wenn Karte mit 8 Kraft oder höher auf Gegnerfeld liegt.'
'FP +1 für dein Feld und das Feld des Gegners.'
'Dein Feld erhält Kraft und FP +2.'
'Kraft +9, wenn alle Karten auf dem Feld unterschiedliche Farben haben.'
'Kraft +9 beim Ausspielen, wenn SP des Gegners höher sind als deine.'
'Setzt die Werte blauer Karten auf ihrem eigenen Feld auf 9.'
'Kraft +7, wenn eine rote Karte auf dem Feld des Gegners liegt.'
'Kraft +7, wenn alle deine Karten auf dem Feld gerade Kraftwerte haben.'
'Kraft +6, wenn Karte mit 8 Kraft oder höher auf Feld des Gegners liegt.'
'Kraft +7, wenn zwei deiner Karten auf dem Feld weniger oder gleiche Kraft haben.'
'Kraft +3. Lege eine Karte von deiner Hand ab und ziehe eine Karte.'
'Kraft +6, wenn alle deine Karten auf dem Feld ungerade Kraftwerte haben.'
'Kraft +5, wenn Karte mit 8 Kraft oder höher auf Feld des Gegners liegt.'
'Kraft +5, wenn alle deine Karten auf dem Feld gerade Kraftwerte haben.'
'Kraft +5, wenn alle Karten auf dem Feld unterschiedliche Farben haben.'
'Dein Feld erhält FP +2.'
'Kraft +4, wenn alle deine Karten auf dem Feld ungerade Kraftwerte haben.'
'Kraft und FP +2, wenn alle Karten auf Feld unterschiedliche Farben haben.'
'Kraft +2, wenn eine blaue Karte auf deinem Feld liegt.'
'Kraft +2, wenn alle Karten auf dem Feld unterschiedliche Farben haben.'
'Kraft und FP +2, wenn alle Karten auf dem Feld gerade Kraftwerte haben.'
'Kraft und FP +1, wenn alle Karten auf Feld unterschiedliche Farben haben.'
'Kraft +1, wenn eine blaue Karte auf deinem Feld liegt.'
'Kraft +2, wenn alle deine Karten auf dem Feld ungerade Kraftwerte haben.'
'Kraft und FP +2, wenn alle Karten auf Feld unterschiedliche Farben haben.'
'Kraft +4, wenn eine grüne oder blaue Karte auf deinem Feld liegt.'
'Kraft +1, wenn alle Karten auf dem Feld unterschiedliche Farben haben.'
'Kraft +1. Lege eine Karte von deiner Hand ab und ziehe eine Karte.'
'Kraft +1, wenn alle deine Karten auf dem Feld gerade Kraftwerte haben.'
'Dein Feld erhält Kraft und FP +3.'
'Kraft +1, wenn alle Karten auf dem Feld unterschiedliche Farben haben.'
'Kraft und FP +1, wenn Karte mit 8 Kraft oder höher auf Gegnerfeld liegt.'
'FP +1 für dein Feld und das Feld des Gegners.'
'Dein Feld erhält Kraft und FP +2.'
'Kraft +9, wenn alle Karten auf dem Feld unterschiedliche Farben haben.'
'Kraft +9 beim Ausspielen, wenn SP des Gegners höher sind als deine.'
'Setzt die Werte gelber Karten auf ihrem eigenen Feld auf 9.'
'Kraft +7, wenn eine grüne Karte auf dem Feld des Gegners liegt.'
'Kraft +7, wenn alle deine Karten auf dem Feld gerade Kraftwerte haben.'
'Kraft +1 für jede Karte auf dem Feld des Gegners mit 7 Kraft oder höher.'
'Kraft +7, wenn zwei Karten auf dem Feld weniger oder gleiche Kraft haben.'
'Kraft +3. Lege eine Karte von deiner Hand ab und ziehe eine Karte.'
'Kraft +6, wenn alle deine Karten auf dem Feld ungerade Kraftwerte haben.'
'Kraft +5, wenn Karte mit 8 Kraft oder höher auf Feld des Gegners liegt.'
'Kraft +5, wenn alle deine Karten auf dem Feld gerade Kraftwerte haben.'
'Kraft +5 beim Ausspielen, wenn du über 4 oder mehr SP verfügst.'
'Dein Feld erhält FP +2.'
'Kraft +4, wenn alle deine Karten auf dem Feld ungerade Kraftwerte haben.'
'Kraft und FP +2, wenn alle Karten auf Feld unterschiedliche Farben haben.'
'Kraft +2, wenn eine gelbe Karte auf deinem Feld liegt.'
'Kraft +2, wenn alle Karten auf dem Feld unterschiedliche Farben haben.'
'Kraft und FP +2, wenn alle Karten auf dem Feld gerade Kraftwerte haben.'
'Kraft und FP +1, wenn Karte mit 8 Kraft oder höher auf Gegnerfeld liegt.'
'Kraft +1, wenn eine gelbe Karte auf deinem Feld liegt.'
'Kraft +2, wenn alle deine Karten auf dem Feld ungerade Kraftwerte haben.'
'Kraft und FP +2, wenn alle Karten auf Feld unterschiedliche Farben haben.'
'Kraft +4, wenn eine blaue oder gelbe Karte auf deinem Feld liegt.'
'Kraft +1, wenn alle Karten auf dem Feld unterschiedliche Farben haben.'
'Kraft +1, wenn alle deine Karten auf dem Feld gerade Kraftwerte haben.'
'Dein Feld erhält FP +1.'
'Dein Feld erhält Kraft und FP +3.'
'Kraft +1, wenn alle Karten auf dem Feld unterschiedliche Farben haben.'
'Kraft und FP +1, wenn Karte mit 8 Kraft oder höher auf Gegnerfeld liegt.'
'FP +1 für dein Feld und das Feld des Gegners.'
'Dein Feld erhält Kraft und FP +2.'
'Los geht’s.'
'Du wirst mich nicht übertrumpfen, Nowa.'
'Oh? Dann also Karten?'
'Ich habe für diesen Unsinn keine Zeit.'
'Ich könnte stärker sein, als du denkst!'
'Das ist ein Kinderspiel. Ich verliere nicht.'
'Gerne doch.'
'Ähem. Sollen wir anfangen?'
'Fangen wir an.'
'Mich besiegst du nicht so einfach.'
'Mach dich für meine magischen Karten bereit!'
'Bei meinen Flossen, du wirst mich nicht besiegen!'
'Probieren wir es.'
'Dass du mich herausfordern würdest.'
'Du wirst mich nicht besiegen, Nowa.'
'Beigoma finde ich charmanter.'
'Bei Karten und beim Angeln geht es um Glück.'
'Legen wir los!'
'Sieh es als Souvenir für das Jenseits an.'
'Ninjakunst des Kartenwechsels!'
'Zeit für ein Duell.'
'Du hast darum gebeten!'
'Freund wird mit uns spielen!'
'Zeit, meine Muskeln glänzen zu lassen!'
'Ähm, ich tue mein Bestes.'
'Du wirst die Macht der Dunkelheit erkennen.'
'Herausforderung angenommen.'
'Ich zeige dir die Kraft des Steinlöwen!'
'Sieht schwieriger aus als Jagen.'
'So schöne Karten.'
'Etwas Abwechslung wäre gar nicht übel.'
'Hmm, ich bin dein Gegenspieler.'
'Kein Trödeln! Wir spielen!'
'D-Du willst gegen MICH spielen?'
'Bin selbst ein Fan von Karten.'
'Kartenspiele sind so EXPLOSIV!'
'Ich veranstalte ein Spektakel für dich.'
'Analyse abgeschlossen.'
'Versuche ja nicht, mich reinzulegen.'
'Tihi ... Dein Mut ist charmant.'
'Ich bin ein absolutes Vorbild.'
'Das wird gutes taktisches Training sein.'
'Tada! Ich bin bereit.'
'Gibt es heute kein Rennen?'
'Ich regle das mit Stil.'
'Hmm, jetzt verstehe ich es.'
'Nun, dann bin ich dein Gegenspieler.'
'Bist du wirklich bereit dafür?'
'Dann ist Zeit für eine heitere Einlage.'
'Okay.'
'Du weißt nicht, auf was du dich eingelassen hast.'
'In Ordnung ... Hii hii hii ...'
'Lass das Schicksalsspiel beginnen.'
'Das ist also ein Karten ... Spiel?'
'Verlierer bezahlt die Getränke!'
'Ich kann vorhersehen, wie das ausgeht ...'
'Legen wir los!'
'Nun, wenn es sein muss ...'
'Dann versuchen wir’s mal.'
'*Kicher* Wie aufregend!'
'Du solltest wissen, dass ich sehr gut mit Spielen bin.'
'Na dann los, mein Freund!'
'Sei nachsichtig mit mir.'
'Ich fordere dich zu einem Duell heraus!'
'Muss ich das Spielen?'
'Dann versuchen wir’s mal.'
'Herausforderung angenommen!'
'Was für eine Zeitverschwendung ...'
'Ich habe alles berechnet.'
'GRAWWWRGH!'
'Kr, kr, krrr ...'
'Hey, hey, heeey!'
'Bereit, wenn du es bist!'
'Sylvie wird immer bei mir sein!'
'Du willst spielen ... gegen mich?'
'Bist meinem Charme verfallen, wie?'
'Oho! Du hast mich gewählt, hm?'
'Hm, so ein anspruchsvolles Spiel ...'
'Ich ... hoffe, mein Spielstil ärgert dich nicht ...'
'Was? Nun, wenn ich muss ...'
'Zeig mir, was du kannst.'
'Ich wollte das schon länger probieren.'
'Du willst gegen mich spielen?'
'Wenn ich spiele, gewinne ich!'
'Nun, es könnte eine schöne Ablenkung sein.'
'In Ordnung, probieren wir es.'
'Siege und die Ehre ist deine!'
'Halt dich nicht zurück!'
'Bist du wirklich bereit?'
'Hey! Willst du mitmachen?'
'So schwierig ist es nicht? Alles in Ordnung?'
'Das Spiel beginnt ...'
'Wäre nett, das in einer heißen Quelle zu spielen.'
'Ah! Früher habe ich das oft gespielt.'
'Gleich geht es los!'
'Karten kommentieren, wie?!'
'Ich mache gleich Spiegelei aus dir!'
'Hättest du nicht lieber ein Beigoma-Duell?'
'Hast du dein Deck dabei?'
'P-Probieren wir es.'
'Ich verliere niemals gegen dich!'
'Du glaubst, du kannst mich besiegen?'
'Wie realisiere ich diese Strategie ...'
'Hin und wieder ist eine Pause sehr angebracht.'
'Für den Stolz meines Klans!'
'Es ist zwar ein Spiel, ich halte aber nicht zurück!'
'Ich werde den Titel des Champions erringen!'
'Ich tue mein Bestes!'
'Hii hii hii ... Packen wir’s an.'
'D-D-Du willst gegen mich spielen?'
'Erhebt die Stimmen und regt eure Seelen!'
'Komm schon, lass uns Spaß haben!'
'Oh! Du willst spielen?'
'Probieren wir es aus.'
'Wehe, du hältst dich zurück!'
'I-Ich bin ziemlich gut darin!'
'Mein Vergnügen.'
'Beeil dich und fang an!'
'Vielleicht biege ich die Regeln.'
'Glück wird mir den Sieg bringen!'
'Wirf dich mir zu Füßen!'
'Du hast Mut, mich herauszufordern.'
'Winde dich vor mir, Mensch!'
'Ich zerschmettere dich.'
'Mit der Macht der Linsen ...'
'Ähm, sei nicht so hart mit mir ...'
'Wenn du Schwäche suchst, wirst du sie nicht finden.'
'Knie vor meiner Macht nieder!'
